Sat Aug  7 22:06:18 2021,72,58,1,59
Sat Aug  7 22:07:30 2021,30,28,1,29
Sat Aug  7 22:09:52 2021,27,24,0,24
Sat Aug  7 22:22:29 2021,23,30,2,32
Sat Aug  7 22:25:00 2021,28,38,6,44
Sat Aug  7 22:46:03 2021,26,38,4,42
Sat Aug  7 23:10:46 2021,22,32,1,33
Sat Aug  7 23:15:34 2021,32,38,4,42
Sun Aug  8 00:36:59 2021,32,48,7,55
Sun Aug  8 00:38:43 2021,39,44,6,50
Sun Aug  8 00:40:54 2021,35,44,4,48
Sun Aug  8 17:42:36 2021,30,24,0,24
Sun Aug  8 17:45:39 2021,27,28,0,28
Sun Aug  8 18:33:04 2021,31,28,1,29
Sun Aug  8 18:43:29 2021,41,42,6,48
Sun Aug  8 18:44:21 2021,42,44,6,50
Sun Aug  8 18:46:39 2021,30,40,5,45
Sun Aug  8 18:47:44 2021,22,30,4,34
Sun Aug  8 18:48:40 2021,38,54,3,57
Sun Aug  8 18:49:26 2021,34,44,7,51
Mon Aug  9 16:33:06 2021,36,44,5,49
Mon Aug  9 16:36:32 2021,92,56,6,62
Mon Aug  9 16:57:03 2021,0,0,0,0
Mon Aug  9 16:58:13 2021,39,46,2,48
Mon Aug  9 17:58:05 2021,0,0,0,0
Mon Aug  9 18:00:49 2021,111,44,6,50
Mon Aug  9 18:18:12 2021,27,36,4,40
Mon Aug  9 18:18:23 2021,0,0,0,0
Mon Aug  9 18:21:46 2021,59,74,4,78
Mon Aug  9 18:35:07 2021,0,0,0,0
Mon Aug  9 19:00:54 2021,0,4,0,0
Mon Aug  9 19:01:19 2021,0,10,0,0
Mon Aug  9 19:04:44 2021,0,10,5,0
Mon Aug  9 19:05:16 2021,0,3,6,0
Mon Aug  9 19:06:15 2021,0,0,19,0
Mon Aug  9 19:06:39 2021,0,7,1,0
Mon Aug  9 19:12:41 2021,0,6,1,0
Mon Aug  9 19:14:15 2021,44,48,2,50
Mon Aug  9 20:01:06 2021,52,42,1,43
Mon Aug  9 20:02:33 2021,49,48,13,61
Wed Aug 11 22:30:38 2021,0,2,1,0
Thu Aug 12 08:43:16 2021,0,7,3,0
Fri May 15 02:30:00 2026,30,52,3,55
